file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	744	1	1	0.33035	1	1
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	745	10	8	8.00894	2	31
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	746	20	18	13.73016	2	47
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	747	18	18	13.57983	2	46
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	748	9	7	8.04581	1	29
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	749	7	6	6.30254	2	23
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	751	8	5	7.54644	2	28
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	753	1	1	0.32179	1	1
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	754	8	5	7.94622	2	29
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	755	2	1	3.5655	1	14
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	756	15	12	11.01825	2	44
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	758	12	9	10.88392	2	40
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	759	8	6	6.59262	1	25
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	760	1	1	0.89264	1	1
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	762	12	8	11.58334	2	44
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	763	3	2	1.93482	2	9
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	765	15	12	11.8286	2	43
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	766	4	2	3.8501	1	14
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	767	11	8	9.20241	2	34
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	768	8	5	8.00176	2	30
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	769	24	23	13.6977	4	49
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	770	4	3	2.33577	2	10
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	771	1	1	1.26203	1	5
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	772	7	5	6.17479	1	25
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	773	13	11	10.20789	2	39
Kihihi_48BarcodeTest_50maxCOI/48_74.txt	C	774	1	1	0.7742	1	1
