file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	744	1	1	0.14245	1	1
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	745	14	9	13.08156	2	46
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	746	5	3	4.96544	2	19
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	747	8	3	9.9255	2	39
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	748	5	2	5.33201	1	21
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	749	7	3	6.9128	2	27
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	750	25	25	14.30637	2	49
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	751	3	2	2.12329	2	9
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	753	1	1	0.14585	1	1
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	754	19	14	14.00051	3	48
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	755	2	1	3.70342	1	5
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	756	5	3	4.2104	2	16
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	758	7	1	10.46408	1	36
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	759	2	1	2.87391	1	11
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	760	1	1	0.09671	1	1
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	762	2	1	3.87497	1	13
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	763	2	2	1.72951	1	7
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	764	4	3	3.68505	1	15
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	765	5	3	5.1875	2	21
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	766	3	2	2.06326	1	8
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	767	11	7	10.40748	2	38
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	768	17	12	12.70585	3	47
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	769	17	12	13.1214	3	47
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	770	9	5	9.30242	2	36
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	771	4	2	4.00635	1	15
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	772	4	1	7.81198	1	31
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	773	10	6	9.08185	2	35
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	774	1	1	1.36258	1	4
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	775	1	1	0.32003	1	1
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	776	21	17	13.80387	2	49
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	777	12	8	9.7239	3	39
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	778	3	2	2.44041	2	10
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	779	12	7	10.33159	3	41
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	780	2	1	0.96369	1	4
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	781	17	12	13.40816	2	48
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	783	9	5	9.17751	2	38
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	784	10	4	11.21928	1	42
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	785	16	11	12.05722	4	47
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	786	8	1	12.23278	1	44
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	787	13	10	10.36617	3	41
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	788	1	1	2.7507	1	3
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	789	6	3	6.61126	2	25
Kihihi_48BarcodeTest_50maxCOI/48_43.txt	C	790	5	3	4.9443	2	20
