file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	744	1	1	0	1	1
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	745	3	3	0.88515	2	5
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	746	2	2	0.39895	1	3
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	747	1	1	0.21071	1	2
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	748	1	1	0.14581	1	1
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	749	2	2	0.29782	2	3
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	750	5	3	5.33396	2	18
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	751	2	2	0.4019	1	2
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	752	5	4	4.34201	2	18
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	753	1	1	0	1	1
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	754	3	2	0.82676	2	5
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	755	1	1	0.0145	1	1
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	756	2	2	0.64836	2	4
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	757	1	1	0.55473	1	3
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	758	1	1	0.22316	1	2
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	759	1	1	0.3916	1	2
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	760	1	1	0	1	1
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	761	3	2	1.87054	1	8
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	762	2	2	0.52081	1	3
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	763	2	2	0.41663	1	2
Kihihi_96BarcodeTest_50maxCOI/96_17.txt	C	764	2	2	0.61238	1	3
