file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	744	1	1	0	1	1
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	745	3	3	1.02489	2	6
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	746	2	2	0.32477	2	3
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	747	2	2	0.5957	1	3
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	748	1	1	0.17664	1	2
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	749	2	2	0.39802	2	3
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	750	5	3	4.46075	2	17
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	751	2	2	0.50647	1	2
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	752	8	5	7.92771	2	32
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	753	1	1	0	1	1
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	754	3	3	0.98704	2	5
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	755	1	1	0.01342	1	1
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	756	2	2	0.70984	2	4
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	757	2	2	0.80746	1	3
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	758	1	1	0.10593	1	1
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	759	1	1	0.21916	1	2
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	760	1	1	0	1	1
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	761	3	2	1.69413	1	8
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	762	2	2	0.49301	1	3
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	763	2	2	0.16664	2	2
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	764	2	2	0.59432	1	3
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	765	3	2	0.72359	2	4
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	766	1	1	0.24881	1	2
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	767	2	2	0.42823	2	3
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	768	3	3	1.00872	2	5
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	769	5	5	2.03866	3	10
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	770	2	2	0.55963	2	4
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	771	1	1	0.34313	1	2
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	772	1	1	0.52424	1	2
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	773	3	3	1.11471	2	6
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	774	1	1	0.01225	1	1
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	775	1	1	0	1	1
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	776	3	2	1.19588	2	6
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	777	4	4	1.51797	2	8
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	778	2	2	0.50448	1	2
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	779	4	4	1.20603	2	7
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	780	1	1	0.45275	1	2
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	781	3	3	1.71242	2	7
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	782	1	1	0.7494	1	3
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	783	5	4	1.94846	3	10
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	784	3	2	1.45816	2	7
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	785	6	5	1.54579	3	9
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	786	1	1	0.44897	1	2
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	787	4	4	1.70177	2	8
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	788	1	1	0.01	1	1
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	789	2	2	0.57266	2	4
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	790	3	2	0.72596	2	4
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	791	3	3	0.98458	2	6
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	792	1	1	0.06277	1	1
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	793	1	1	0.10541	1	1
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	794	1	1	0.13804	1	1
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	795	4	2	3.03173	2	13
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	796	2	2	0.66213	1	4
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	797	12	10	6.87102	3	29
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	798	4	4	1.76064	2	8
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	799	1	1	0.06237	1	1
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	800	2	2	0.55309	2	4
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	801	1	1	0.43635	1	2
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	802	2	2	0.49951	2	4
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	803	6	6	1.7876	3	10
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	804	5	5	1.55471	3	9
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	805	5	5	1.65038	3	9
Kihihi_96BarcodeTest_50maxCOI/96_69.txt	C	806	2	2	0.72442	2	4
