file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	744	1	1	0.01304	1	1
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	745	4	3	2.88838	2	12
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	746	1	1	0.35172	1	2
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	747	2	2	1.46049	1	7
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	748	1	1	0.12084	1	1
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	749	2	2	0.66007	2	4
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	751	2	2	0.63877	1	4
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	752	10	6	9.96117	2	39
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	753	1	1	0.0155	1	1
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	754	3	3	2.0166	2	9
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	755	1	1	0.15211	1	1
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	756	3	2	1.12833	2	6
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	758	1	1	0.17284	1	2
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	759	1	1	0.4245	1	2
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	760	1	1	0	1	1
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	761	2	1	1.51108	1	5
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	762	1	1	0.33097	1	2
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	763	2	2	0.45078	1	3
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	764	2	2	1.00086	1	4
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	765	2	2	0.66421	1	3
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	766	1	1	0.61027	1	3
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	767	4	2	2.90651	2	12
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	768	3	3	1.90712	2	9
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	769	6	5	3.66683	2	16
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	770	3	2	1.3203	2	6
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	771	1	1	0.21085	1	2
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	772	1	1	0.25989	1	1
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	773	7	6	3.63553	2	16
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	774	1	1	0.27529	1	1
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	775	1	1	0.14787	1	1
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	776	1	1	1.53136	1	3
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	777	5	4	2.54106	2	12
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	778	1	1	0.70438	1	3
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	779	6	5	3.84757	2	17
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	780	1	1	0.09148	1	1
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	781	4	3	2.61976	2	11
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	782	3	2	1.61381	1	7
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	783	8	7	3.30406	3	16
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	784	3	2	3.34882	1	12
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	785	8	8	3.66374	4	18
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	786	2	2	1.16724	1	6
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	787	8	6	6.89347	2	29
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	788	1	1	0.06762	1	1
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	789	3	3	0.98456	2	5
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	790	3	3	1.0273	2	5
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	791	3	2	0.98375	2	5
Kihihi_48BarcodeTest_50maxCOI/48_16.txt	C	792	1	1	0.20146	1	1
