file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	744	1	1	0.00707	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	745	5	4	3.5537	2	14
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	746	1	1	0.54119	1	2
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	747	4	2	3.89583	2	16
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	748	1	1	0.43918	1	2
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	749	2	2	0.81252	2	5
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	751	1	1	0.11638	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	753	1	1	0.02811	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	755	1	1	0.01871	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	756	3	3	1.81256	2	8
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	757	4	3	2.63639	2	11
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	758	2	1	2.37524	1	9
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	759	1	1	0.58978	1	3
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	760	1	1	0.02608	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	761	3	2	1.2498	1	6
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	762	2	2	0.9017	1	4
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	763	1	1	0.1419	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	764	3	2	3.01706	1	9
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	765	3	2	0.99775	2	5
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	766	1	1	0.49719	1	2
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	767	3	3	1.47358	2	7
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	768	3	2	1.23534	2	6
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	769	8	7	3.76308	3	18
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	770	2	2	0.78076	1	4
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	771	1	1	0.03846	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	772	2	2	0.5623	1	4
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	773	3	3	0.95998	2	5
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	774	1	1	0.02192	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	775	1	1	0.00447	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	776	3	2	1.79946	1	8
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	777	5	4	2.37339	2	11
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	778	2	2	0.95506	1	4
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	779	5	5	2.32148	2	11
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	780	1	1	0.23665	1	2
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	781	3	3	2.61475	1	10
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	783	8	7	4.95388	3	21
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	784	4	3	4.00542	2	16
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	785	7	6	3.10446	3	14
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	786	2	1	1.20452	1	5
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	787	3	3	1.83422	2	8
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	788	1	1	0.01761	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	789	3	3	1.73525	2	8
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	790	3	3	1.38441	2	7
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	791	3	3	1.24651	2	6
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	792	1	1	0.18678	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	793	1	1	0.179	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	794	1	1	0.15155	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	796	4	2	2.93515	1	12
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	797	14	11	8.56259	4	39
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	798	4	4	1.85003	2	9
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	799	1	1	0.16612	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	800	3	2	1.25713	2	6
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	801	2	2	1.03857	1	5
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	802	4	3	2.60001	2	11
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	803	8	7	3.51968	4	17
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	804	7	6	4.63641	2	19
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	805	8	7	3.69555	3	17
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	806	2	2	2.26839	1	9
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	807	3	1	5.1918	1	18
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	808	11	9	6.19389	3	26
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	809	1	1	0.47951	1	3
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	810	1	1	0.4572	1	2
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	811	10	8	5.67848	4	25
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	812	2	2	0.65943	2	4
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	813	1	1	0.6796	1	3
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	814	3	2	1.19467	2	6
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	815	3	2	1.20704	2	6
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	816	1	1	0.00707	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	817	1	1	0.40822	1	2
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	818	1	1	1.80955	1	4
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	819	1	1	0.73252	1	2
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	820	1	1	0.55746	1	2
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	821	2	2	0.51849	1	3
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	822	1	1	0.50377	1	2
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	823	3	2	3.20803	1	12
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	824	6	4	5.46146	2	21
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	825	1	1	0.20747	1	2
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	826	3	2	1.89527	1	8
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	827	7	5	4.81865	2	20
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	828	1	1	0.03	1	1
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	829	3	2	0.96408	2	5
Kihihi_48BarcodeTest_50maxCOI/48_22.txt	C	830	1	1	0.18612	1	2
