file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	744	2	1	3.86499	1	12
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	745	24	23	13.98156	4	49
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	746	12	9	10.49875	2	40
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	747	12	10	11.66674	1	42
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	748	6	4	5.64729	1	20
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	749	13	11	10.67435	2	40
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	751	7	4	6.15113	1	24
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	752	31	32	12.68388	6	50
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	753	2	1	2.99822	1	12
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	754	18	15	13.24364	2	46
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	755	9	4	10.57189	1	37
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	756	13	11	9.77969	2	37
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	757	13	9	12.77834	1	44
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	758	6	3	6.7818	1	24
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	759	14	12	13.74448	1	45
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	760	2	1	4.78874	1	18
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	761	7	3	8.55076	1	31
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	762	3	2	4.11084	1	15
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	763	10	8	8.71454	2	33
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	764	14	10	12.24929	1	43
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	765	12	8	9.59028	2	37
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	766	3	1	3.6089	1	14
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	767	16	16	14.88735	1	47
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	768	21	19	14.37768	2	48
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	769	21	20	13.94064	3	47
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	770	14	11	10.66637	2	39
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	771	12	9	12.40744	1	44
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	772	13	10	10.25988	2	38
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	773	20	18	13.27022	3	47
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	774	11	8	11.10897	1	37
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	775	3	1	4.3154	1	16
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	776	17	15	12.7261	2	45
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	777	11	8	9.86366	2	37
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	778	13	11	10.6404	2	39
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	779	19	17	13.05423	3	46
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	780	5	3	5.35001	1	20
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	781	10	8	8.12827	2	29
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	782	8	4	8.91909	1	34
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	783	15	11	11.98254	3	44
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	785	23	22	13.60351	5	48
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	786	9	4	10.29958	1	35
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	787	17	15	11.54079	3	45
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	788	5	1	8.61191	1	32
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	789	15	14	11.74259	2	42
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	790	17	15	13.19678	2	46
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	791	12	9	9.34015	2	35
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	792	15	14	13.75564	1	43
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	793	7	4	7.06191	1	25
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	794	8	5	7.80528	1	27
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	796	13	11	10.27811	2	39
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	797	31	33	12.96244	8	50
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	798	25	24	14.793	4	49
Kihihi_48BarcodeTest_50maxCOI/48_11.txt	C	799	5	3	4.79288	1	17
