file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	744	2	1	3.67481	1	12
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	745	10	7	9.13363	1	34
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	746	17	13	13.61501	2	47
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	749	13	10	10.21032	3	40
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	753	2	1	2.26788	1	9
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	755	5	1	6.19967	1	22
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	759	19	18	14.94761	1	48
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	760	2	1	4.09779	1	16
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	763	14	11	10.11204	3	40
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	766	12	10	10.69806	1	39
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	770	12	9	11.3162	1	40
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	771	10	7	9.44074	2	37
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	772	18	15	13.02292	2	47
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	773	26	26	13.36424	3	49
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	774	19	19	15.81455	1	48
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	775	3	1	4.10975	1	15
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	778	14	11	12.04358	1	44
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	779	19	18	12.24437	2	44
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	780	12	8	13.2393	1	45
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	785	31	32	12.64371	7	50
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	786	21	24	18.61765	1	49
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	788	3	2	3.75578	1	14
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	789	16	14	11.57751	3	43
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	790	18	15	13.35087	2	47
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	791	23	22	13.23355	4	48
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	792	23	23	14.95572	2	49
Kihihi_24BarcodeTest_50maxCOI/24_50.txt	C	794	8	2	8.64516	1	30
