file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	744	3	1	5.63846	1	21
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	745	14	11	9.65091	3	41
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	749	18	16	11.03222	2	44
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	753	2	1	2.30086	1	9
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	755	5	3	4.3473	1	16
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	760	1	1	2.44842	1	8
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	763	6	4	4.02849	1	16
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	773	31	31	11.09961	10	49
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	774	6	1	8.02184	1	27
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	775	14	12	12.60864	1	44
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	778	18	16	11.06887	3	45
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	785	34	34	10.54652	12	50
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	786	28	28	11.7575	6	49
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	789	2	1	3.21158	1	12
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	792	25	23	11.56869	6	48
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	799	13	12	9.62432	1	37
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	803	25	24	11.3754	7	48
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	809	20	20	13.00681	1	46
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	811	22	20	11.43107	5	47
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	812	13	10	10.34153	2	40
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	816	9	6	9.44055	1	34
Kihihi_24BarcodeTest_50maxCOI/24_64.txt	C	821	9	7	6.24165	2	24
