file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	744	1	1	0.26909	1	2
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	745	4	3	2.26095	2	9
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	749	4	3	3.60511	2	14
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	753	1	1	0.10462	1	1
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	755	1	1	0.36001	1	1
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	759	2	2	0.93035	1	5
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	760	1	1	0.09429	1	1
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	763	2	2	0.88884	1	4
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	766	2	1	2.08671	1	8
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	771	2	2	0.74221	1	3
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	772	1	1	0.48182	1	2
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	773	3	2	1.29861	1	6
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	774	1	1	0.13225	1	1
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	775	1	1	0.34263	1	2
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	777	23	22	11.63299	5	47
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	778	2	2	1.29151	1	5
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	779	6	4	5.08516	2	20
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	780	3	1	4.04924	1	14
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	785	8	7	5.32651	3	23
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	786	2	2	0.7954	1	4
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	788	1	1	0.24798	1	2
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	789	4	3	3.23368	1	12
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	790	4	4	2.23593	2	10
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	791	5	4	3.80523	2	16
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	792	8	1	10.08157	1	36
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	794	2	1	1.75931	1	6
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	799	1	1	2.31305	1	1
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	803	9	7	6.38519	2	26
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	804	8	6	5.1655	2	22
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	809	1	1	0.76705	1	3
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	811	12	10	7.02829	4	31
Kihihi_24BarcodeTest_50maxCOI/24_66.txt	C	812	3	2	1.30667	1	6
