file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	744	5	1	6.92005	1	26
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	745	19	17	10.91333	3	45
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	749	16	14	9.74162	2	41
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	751	27	26	11.70303	6	49
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	753	4	3	4.30392	1	16
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	755	8	6	7.99708	1	27
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	759	31	31	11.3769	9	49
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	760	7	1	10.00251	1	35
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	763	13	11	8.87714	2	36
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	766	23	21	10.82646	6	47
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	772	10	9	9.09335	1	33
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	773	34	35	10.04139	14	50
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	774	28	28	10.94581	9	49
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	775	11	8	10.49176	1	38
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	777	33	33	10.53803	12	50
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	778	23	22	10.71253	6	46
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	780	29	28	11.10248	9	49
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	785	22	20	11.54509	4	47
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	786	37	39	9.43357	16	50
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	787	22	20	12.17704	4	47
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	788	7	1	9.80706	1	34
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	789	4	3	3.68957	1	15
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	792	36	37	9.71933	15	50
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	794	30	29	11.12149	9	49
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	799	29	28	11.59683	9	49
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	803	15	14	8.81355	3	36
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	804	36	37	10.07451	14	50
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	809	6	4	5.19653	1	20
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	811	33	34	10.37674	12	49
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	812	20	18	11.80613	3	46
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	816	14	11	10.53541	2	42
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	820	15	12	9.79587	2	38
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	821	16	13	10.00456	3	41
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	822	16	14	10.87085	1	42
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	825	10	5	11.32195	1	38
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	828	9	6	7.33139	1	29
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	829	27	27	11.18779	8	48
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	830	23	22	11.58245	3	47
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	831	33	34	10.8703	10	49
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	833	11	9	7.87721	2	32
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	834	21	20	10.40114	5	45
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	835	19	17	10.95904	4	45
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	841	9	7	6.50819	2	26
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	842	7	5	5.59431	1	23
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	847	34	34	9.86382	14	49
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	850	5	1	6.37907	1	23
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	852	12	10	8.68335	2	36
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	853	31	32	11.41808	10	49
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	854	38	39	9.00655	17	50
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	857	5	1	6.125	1	23
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	858	35	37	10.13896	13	50
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	859	8	1	10.61303	1	37
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	861	13	11	8.98	1	35
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	864	19	17	11.41911	3	46
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	C	866	18	15	10.67236	3	44
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	P	assay6	0.00513032705705706	0.004712	0.00285	0.000937	0.011875
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	P	assay67	0.960776873493493	0.9622725	0.01143	0.934011	0.978235
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	P	assay76	0.111709981201201	0.10292	0.04355	0.053508	0.2211581
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	P	assay42	0.990104667757758	0.990688	0.00375	0.981302	0.995834
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	P	assay51	0.0136738511011011	0.013111	0.0047	0.006332	0.024791525
Kihihi_24BarcodeTest_50maxCOI/24_23.txt	P	assay65	0.997054664264264	0.997491	0.00207	0.992137	0.999795
