file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	744	1	1	0.56965	1	2
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	745	17	14	10.63344	4	44
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	749	9	8	6.09601	2	26
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	753	1	1	2.17204	1	1
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	755	1	1	0.82828	1	3
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	759	10	8	7.56738	2	33
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	760	1	1	0.40211	1	1
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	763	1	1	1.85493	1	4
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	773	17	15	10.00248	4	43
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	774	1	1	0.53222	1	2
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	775	1	1	0.92473	1	4
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	777	11	9	7.29142	2	29
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	778	2	2	1.43903	1	6
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	780	4	3	3.04368	1	13
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	785	9	8	6.39118	3	26
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	786	8	2	10.00038	1	36
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	788	1	1	1.21859	1	5
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	789	2	1	1.99088	1	8
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	791	5	4	3.77789	2	16
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	803	14	12	7.53028	4	33
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	805	18	16	10.69191	4	45
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	809	5	4	3.83031	2	16
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	811	35	37	10.32862	14	50
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	812	4	3	2.78147	2	12
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	816	1	1	1.81664	1	1
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	820	2	1	3.50251	1	14
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	821	3	3	2.25901	1	10
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	822	2	1	1.75468	1	6
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	825	1	1	0.23454	1	1
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	828	2	1	3.05252	1	11
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	829	6	5	3.99752	2	17
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	830	1	1	0.56811	1	1
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	831	7	6	4.86639	2	20
Kihihi_24BarcodeTest_50maxCOI/24_72.txt	C	833	7	2	9.67554	1	38
